id,host_is_superhost,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_heating,bedrooms,beds,is_entire_place,is_private_room,is_hotel_room
5456,1.0,0.95,4.0,1.0,3,2,90,0,298,176.0,630,3.69,4.84,1,1.0,5156.0,1,1,1,1,1.0,2.0,1,0,0
5769,1.0,0.95,4.0,1.0,2,1,14,0,0,42.0,275,1.75,4.9,1,1.0,5153.0,1,0,1,1,1.0,1.0,0,1,0
6413,1.0,1.0,1.0,1.0,2,30,90,0,0,109.0,122,0.76,4.97,1,1.0,5096.0,1,1,1,1,2.0,1.0,1,0,0
6448,1.0,1.0,2.0,1.0,2,3,365,1,133,240.0,295,2.1,4.97,1,1.0,5093.0,1,1,1,1,1.0,2.0,1,0,0
8502,0.0,0.7,1.0,1.0,2,4,90,0,36,85.0,48,0.3,4.53,1,1.0,5011.0,1,1,1,1,1.0,1.0,1,0,0
13035,1.0,0.94,2.0,1.0,3,30,180,0,306,160.0,17,0.12,5.0,1,2.0,4897.0,1,1,1,1,2.0,2.0,1,0,0
18258,0.0,1.0,4.0,1.0,3,3,180,0,134,171.0,2,0.42,5.0,0,2.0,4942.0,1,1,1,1,3.0,2.0,1,0,0
22828,1.0,1.0,1.0,1.0,2,29,365,0,207,65.0,50,0.32,4.94,1,1.0,4877.0,1,1,0,1,1.0,1.0,1,0,0
22982,1.0,0.98,5.0,1.0,4,1,365,0,124,350.0,166,1.05,4.91,0,1.0,4773.0,1,0,1,1,2.0,2.0,1,0,0
23496,1.0,0.95,4.0,1.0,6,3,30,0,87,200.0,0,0.0,4.93,0,1.0,5156.0,0,1,1,1,3.0,4.0,1,0,0
25028,1.0,0.91,3.0,1.0,4,30,365,0,123,221.0,35,0.22,4.94,0,1.0,4745.0,1,1,1,0,2.0,2.0,1,0,0
40285,0.0,0.86,1.0,1.0,4,2,30,0,348,450.0,37,0.25,4.92,1,2.0,4639.0,1,1,1,1,2.0,2.0,1,0,0
47572,1.0,1.0,1.0,1.0,1,30,120,0,219,43.0,7,0.14,5.0,0,1.0,4598.0,1,1,1,1,1.0,1.0,0,1,0
50318,1.0,0.94,30.0,1.0,2,30,365,0,134,136.0,33,0.22,4.88,1,1.0,5107.0,1,1,1,1,2.0,3.0,1,0,0
57187,1.0,1.0,2.0,1.0,6,1,15,0,326,109.0,955,6.0,4.91,1,1.0,4538.0,1,0,0,1,1.0,3.0,1,0,0
69303,1.0,1.0,2.0,1.0,4,2,90,1,306,181.0,213,1.47,4.97,1,1.5,4538.0,1,1,1,1,1.0,1.0,1,0,0
69810,0.0,0.99,1.0,1.0,2,2,365,0,0,134.0,446,3.04,4.98,1,1.0,4789.0,1,1,1,1,1.0,1.0,1,0,0
70258,0.0,0.25,2.0,1.0,3,2,28,0,12,239.0,36,0.54,4.94,0,1.0,4453.0,1,1,1,1,1.0,1.0,1,0,0
70812,1.0,0.71,2.0,1.0,3,2,30,0,44,165.0,175,1.2,4.89,1,1.0,4542.0,1,1,0,1,1.0,3.0,1,0,0
72833,1.0,1.0,1.0,1.0,2,3,60,0,5,132.0,412,2.82,4.91,1,1.0,4437.0,1,1,0,1,1.0,1.0,1,0,0
73005,0.0,0.8,2.0,1.0,6,4,365,0,137,297.0,44,0.3,4.89,1,2.5,4698.0,1,1,1,1,2.0,4.0,1,0,0
73289,1.0,0.82,2.0,1.0,4,30,365,0,67,111.0,59,0.4,4.88,1,2.0,4434.0,1,1,1,1,2.0,2.0,1,0,0
74318,1.0,0.83,3.0,1.0,2,2,365,0,0,194.0,251,1.72,4.82,1,1.0,4431.0,1,0,1,1,1.0,1.0,1,0,0
75957,1.0,0.91,2.0,1.0,2,2,30,0,191,163.0,424,2.9,4.97,1,1.0,4420.0,1,1,1,1,1.0,2.0,1,0,0
76501,1.0,0.94,1.0,1.0,3,2,91,0,48,144.0,222,1.51,4.95,1,1.0,4418.0,1,1,1,1,1.0,2.0,1,0,0
76911,0.0,1.0,1.0,1.0,14,2,365,0,148,893.0,196,2.03,4.95,1,3.0,4427.0,1,1,1,1,5.0,14.0,1,0,0
76925,0.0,0.99,1.0,1.0,8,2,8,0,0,400.0,16,0.11,4.94,1,2.0,4416.0,1,1,1,1,3.0,5.0,1,0,0
77347,0.0,0.99,9.0,1.0,2,2,14,0,0,104.0,0,0.0,4.93,0,1.0,4434.0,1,1,1,1,1.0,1.0,0,1,0
77639,1.0,0.71,4.0,1.0,4,2,365,0,325,179.0,53,0.52,4.69,1,1.0,4413.0,1,1,1,1,2.0,2.0,1,0,0
78035,1.0,1.0,3.0,1.0,8,4,120,0,122,1143.0,91,1.24,4.99,1,3.0,4412.0,1,1,1,1,4.0,4.0,1,0,0
78127,0.0,0.99,4.0,1.0,6,1,7,0,0,240.0,6,0.04,4.2,1,1.0,4412.0,1,1,1,1,3.0,4.0,1,0,0
78422,1.0,0.87,2.0,1.0,6,4,60,0,108,79.0,11,0.08,4.82,1,1.0,4411.0,1,1,1,1,3.0,4.0,1,0,0
78731,0.0,1.0,2.0,1.0,2,3,28,0,145,120.0,215,1.61,4.98,0,1.0,4410.0,1,1,1,1,1.0,1.0,0,1,0
78884,1.0,1.0,19.0,1.0,2,2,90,1,0,148.0,190,1.3,4.77,1,1.0,4000.0,1,1,0,1,2.0,2.0,1,0,0
79100,1.0,0.97,33.0,1.0,2,30,90,1,67,127.0,38,0.31,4.97,1,1.0,4408.0,1,1,1,1,1.0,1.0,1,0,0
79768,0.0,0.99,2.0,1.0,4,4,30,1,0,225.0,34,0.24,4.71,1,1.0,4406.0,0,1,1,1,2.0,3.0,1,0,0
82033,0.0,0.5,1.0,1.0,12,2,30,0,179,357.0,4,0.07,4.25,1,2.0,4398.0,0,1,1,1,3.0,4.0,1,0,0
83643,1.0,0.92,1.0,1.0,2,2,14,0,334,77.0,259,1.85,4.96,1,1.0,4392.0,1,1,1,1,1.0,1.0,0,1,0
84771,0.0,0.99,3.0,1.0,4,2,30,1,0,81.0,16,0.24,4.67,1,1.0,4487.0,0,1,1,1,1.0,1.0,1,0,0
89475,1.0,0.94,18.0,1.0,8,30,365,0,101,341.0,118,0.92,4.85,1,2.0,4378.0,1,1,1,1,4.0,5.0,1,0,0
90898,0.0,0.62,3.0,1.0,6,1,365,0,358,203.0,112,0.78,4.72,1,1.0,4579.0,1,1,1,1,2.0,3.0,1,0,0
90957,0.0,0.62,3.0,1.0,3,1,365,0,360,84.0,5,0.04,4.6,1,1.0,4579.0,1,1,1,1,1.0,2.0,0,1,0
104099,1.0,0.98,2.0,1.0,4,1,30,0,74,137.0,236,1.69,4.88,0,1.0,4600.0,1,1,1,1,1.0,2.0,1,0,0
104386,1.0,1.0,2.0,1.0,4,30,180,0,252,150.0,138,0.96,4.97,1,1.0,4355.0,1,1,1,1,2.0,3.0,1,0,0
104394,0.0,1.0,4.0,1.0,2,29,90,0,66,56.0,74,0.51,4.61,0,1.5,4355.0,1,1,1,1,1.0,1.0,0,1,0
113779,1.0,1.0,10.0,1.0,2,20,365,0,320,127.0,98,0.72,4.87,1,1.0,4342.0,1,1,1,1,1.0,1.0,1,0,0
116014,0.0,0.99,4.0,1.0,5,1,15,1,0,259.0,2,0.01,5.0,1,1.0,4412.0,1,1,1,1,3.0,3.0,1,0,0
128326,1.0,0.67,4.0,1.0,6,3,365,0,299,289.0,83,0.59,4.94,1,2.0,4326.0,1,1,1,1,3.0,3.0,1,0,0
140474,1.0,1.0,10.0,1.0,4,20,365,0,346,249.0,87,0.63,4.89,1,1.0,4342.0,1,1,1,1,2.0,3.0,1,0,0
140504,1.0,1.0,10.0,1.0,2,20,365,0,313,218.0,95,0.68,4.91,1,1.0,4342.0,1,1,1,1,1.0,1.0,1,0,0
145210,0.0,0.67,3.0,1.0,2,30,365,0,112,150.0,206,1.64,4.9,1,1.0,4383.0,1,1,1,1,1.0,1.0,1,0,0
155359,0.0,0.82,3.0,1.0,6,7,365,0,32,400.0,34,0.25,4.87,0,2.5,4441.0,1,1,1,1,2.0,2.0,1,0,0
158398,0.0,1.0,2.0,1.0,7,4,30,0,180,899.0,17,0.13,4.82,1,3.0,4293.0,1,1,1,1,4.0,4.0,1,0,0
167459,0.0,0.0,2.0,1.0,8,3,14,0,363,800.0,8,0.06,4.63,1,3.0,4327.0,1,1,1,1,4.0,4.0,1,0,0
174828,1.0,1.0,3.0,1.0,10,2,365,1,201,455.0,367,2.62,4.89,1,2.0,4274.0,1,1,1,1,4.0,4.0,1,0,0
184853,1.0,0.58,6.0,1.0,4,30,365,0,143,138.0,7,0.15,5.0,1,1.5,4365.0,1,1,1,1,2.0,2.0,1,0,0
195674,0.0,0.6,1.0,1.0,10,2,7,0,350,821.0,39,0.32,4.95,1,2.5,4251.0,1,1,1,1,4.0,5.0,1,0,0
202187,1.0,1.0,2.0,1.0,2,1,30,1,197,72.0,943,6.0,4.87,1,1.0,4243.0,1,1,1,1,1.0,2.0,1,0,0
202753,0.0,1.0,1.0,1.0,2,3,30,1,87,200.0,14,0.23,5.0,0,1.0,4301.0,1,0,1,1,1.0,1.0,0,1,0
207054,1.0,1.0,1.0,1.0,5,3,90,1,73,163.0,200,1.44,4.9,1,1.0,4236.0,1,1,1,1,2.0,2.0,1,0,0
208897,1.0,0.94,1.0,1.0,8,2,60,1,165,212.0,139,1.27,4.96,1,1.0,4233.0,1,1,1,1,3.0,3.0,1,0,0
210834,1.0,0.58,4.0,1.0,7,3,183,0,0,718.0,19,0.16,4.89,1,2.5,4231.0,1,1,1,1,3.0,5.0,1,0,0
218402,1.0,0.0,2.0,1.0,1,28,365,0,258,30.0,27,0.2,4.72,1,1.0,4222.0,1,1,1,1,1.0,1.0,0,1,0
219168,0.0,0.99,1.0,1.0,2,2,60,0,0,250.0,8,0.06,4.88,1,1.0,4221.0,1,0,1,1,2.0,1.0,1,0,0
222986,1.0,0.81,6.0,1.0,8,20,90,0,246,500.0,53,0.38,4.96,1,2.0,4216.0,1,1,1,1,3.0,3.0,1,0,0
224603,1.0,0.7,2.0,1.0,2,30,365,0,214,112.0,114,0.82,4.94,1,1.0,4214.0,1,1,1,1,2.0,1.0,1,0,0
227372,1.0,0.95,34.0,1.0,16,1,32,0,124,446.0,250,1.87,4.89,1,2.5,2665.0,1,1,1,1,3.0,5.0,1,0,0
233930,1.0,1.0,10.0,1.0,4,20,365,0,242,262.0,101,0.74,4.94,1,1.0,4342.0,1,1,1,1,2.0,2.0,1,0,0
238657,1.0,0.99,5.0,1.0,4,2,365,1,193,217.0,186,1.99,4.98,1,1.0,4195.0,1,1,1,1,2.0,2.0,1,0,0
240541,0.0,0.99,9.0,1.0,2,1,9,1,33,89.0,720,5.34,4.62,1,1.0,4196.0,1,1,0,1,1.0,1.0,1,0,0
247770,0.0,0.99,1.0,1.0,5,2,75,0,0,175.0,1,0.01,4.0,0,1.0,4184.0,1,1,1,1,3.0,2.0,1,0,0
248515,1.0,0.97,3.0,1.0,4,2,10,0,63,267.0,170,1.27,4.83,1,1.0,4205.0,1,1,1,1,2.0,2.0,1,0,0
252804,0.0,0.99,1.0,1.0,5,30,210,0,365,100.0,94,0.68,4.67,1,1.5,4177.0,1,1,1,1,3.0,3.0,1,0,0
254232,1.0,0.8,2.0,1.0,5,4,180,0,285,689.0,6,0.04,5.0,1,2.0,4175.0,1,1,1,1,2.0,3.0,1,0,0
271052,1.0,0.91,1.0,1.0,4,3,29,0,339,264.0,45,0.34,4.89,1,2.0,4152.0,1,1,1,1,2.0,2.0,1,0,0
277028,1.0,0.84,5.0,1.0,16,1,365,0,240,541.0,116,0.84,4.69,1,2.5,4296.0,1,1,1,1,5.0,13.0,1,0,0
281182,1.0,0.67,1.0,1.0,10,3,365,0,175,414.0,51,0.38,4.9,1,2.5,4137.0,1,1,1,1,3.0,3.0,1,0,0
282342,1.0,0.67,1.0,1.0,5,30,365,0,15,91.0,30,0.22,4.77,1,2.5,4135.0,1,1,1,1,3.0,3.0,1,0,0
294708,1.0,0.84,69.0,1.0,7,3,60,0,179,1800.0,296,2.21,4.74,0,3.0,4118.0,1,1,1,1,4.0,5.0,1,0,0
295275,0.0,1.0,4.0,1.0,8,30,183,0,201,191.0,65,0.48,4.86,1,2.0,4188.0,1,1,1,1,3.0,3.0,1,0,0
300574,1.0,1.0,3.0,1.0,4,2,28,1,155,144.0,441,3.27,4.89,1,1.0,4642.0,1,1,1,1,1.0,3.0,1,0,0
304808,1.0,0.99,1.0,1.0,2,2,365,0,297,155.0,351,2.58,4.83,1,1.0,4104.0,1,1,1,1,1.0,1.0,0,1,0
304866,1.0,0.96,30.0,1.0,3,3,7,0,361,76.0,176,1.3,4.82,1,1.0,4103.0,1,1,1,1,1.0,2.0,1,0,0
305392,0.0,0.99,2.0,1.0,9,3,28,0,0,695.0,13,0.11,5.0,1,3.0,4716.0,1,1,1,1,4.0,5.0,1,0,0
314152,0.0,0.99,1.0,1.0,4,4,14,0,0,350.0,0,0.0,4.93,0,1.0,4092.0,0,0,0,0,2.0,2.0,1,0,0
315239,0.0,0.0,1.0,1.0,6,3,365,0,365,600.0,2,0.02,5.0,1,2.0,4091.0,1,1,1,1,3.0,3.0,1,0,0
316630,0.0,0.99,1.0,1.0,4,3,14,0,0,400.0,9,0.07,4.89,1,1.0,4089.0,0,0,0,0,2.0,2.0,1,0,0
317148,0.0,0.5,1.0,1.0,7,3,77,0,6,335.0,39,0.29,4.63,0,1.0,4089.0,1,1,1,1,2.0,3.0,1,0,0
