id,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,property_type,room_type,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,neighbourhood_cleansed,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_free_parking,has_heating,has_bed_linens,has_tv
5456,1.0,within an hour,1.0,0.95,4.0,1.0,Entire guesthouse,Entire home/apt,3,2,90,0,298,176.0,630,3.69,4.84,4.88,4.85,4.89,4.82,4.73,4.79,78702,1,1.0,5156.0,1,1,1,0,1,1,1
5769,1.0,within a few hours,1.0,0.95,4.0,1.0,Private room in home,Private room,2,1,14,0,0,42.0,275,1.75,4.9,4.9,4.86,4.91,4.94,4.76,4.92,78729,1,1.0,5153.0,1,0,1,1,1,1,1
6413,1.0,,,1.0,1.0,1.0,Entire guesthouse,Entire home/apt,2,30,90,0,0,109.0,122,0.76,4.97,4.99,4.99,4.99,4.98,4.87,4.93,78704,1,1.0,5096.0,1,1,1,0,1,1,1
6448,1.0,within an hour,1.0,1.0,2.0,1.0,Entire guesthouse,Entire home/apt,2,3,365,1,133,240.0,295,2.1,4.97,4.97,4.96,4.99,4.97,4.97,4.9,78704,1,1.0,5093.0,1,1,1,1,1,1,1
8502,0.0,within a day,0.6,0.7,1.0,1.0,Entire guest suite,Entire home/apt,2,4,90,0,36,85.0,48,0.3,4.53,4.49,4.67,4.83,4.86,4.64,4.57,78741,1,1.0,5011.0,1,1,1,0,1,0,0
13035,1.0,within an hour,1.0,0.94,2.0,1.0,Entire home,Entire home/apt,3,30,180,0,306,160.0,17,0.12,5.0,4.94,4.94,5.0,5.0,5.0,4.94,78702,1,2.0,4897.0,1,1,1,0,1,1,1
18258,0.0,within an hour,1.0,1.0,4.0,1.0,Entire bungalow,Entire home/apt,3,3,180,0,134,171.0,2,0.42,5.0,5.0,5.0,5.0,5.0,4.5,4.5,78745,0,2.0,4942.0,1,1,1,1,1,1,1
22828,1.0,,,1.0,1.0,1.0,Entire guesthouse,Entire home/apt,2,29,365,0,207,65.0,50,0.32,4.94,5.0,4.98,5.0,5.0,4.77,4.86,78741,1,1.0,4877.0,1,1,0,0,1,1,1
22982,1.0,within an hour,1.0,0.98,5.0,1.0,Entire guesthouse,Entire home/apt,4,1,730,0,124,350.0,166,1.05,4.91,4.93,4.97,4.96,4.9,4.88,4.82,78703,0,1.0,4773.0,1,0,1,1,1,1,1
23496,1.0,within an hour,1.0,0.95,4.0,1.0,Entire home,Entire home/apt,6,3,30,0,87,200.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78702,0,1.0,5156.0,0,1,1,1,1,1,1
25028,1.0,within a day,1.0,0.91,3.0,1.0,Entire bungalow,Entire home/apt,4,120,365,0,123,221.0,35,0.22,4.94,5.0,4.93,5.0,4.96,4.74,4.93,78757,0,1.0,4745.0,1,1,1,1,0,1,1
40285,0.0,within a few hours,1.0,0.86,1.0,1.0,Entire home,Entire home/apt,4,2,30,0,348,450.0,37,0.25,4.92,4.94,4.94,4.97,4.97,4.91,4.8,78731,1,2.0,4639.0,1,1,1,1,1,1,1
47572,1.0,within a few hours,1.0,1.0,1.0,1.0,Private room in home,Private room,1,30,120,0,219,43.0,7,0.14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,78758,0,1.0,4598.0,1,1,1,1,1,1,1
50318,1.0,within a few hours,1.0,0.94,30.0,1.0,Entire condo,Entire home/apt,2,30,1125,0,134,136.0,33,0.22,4.88,4.72,4.76,5.0,4.97,4.83,4.79,78705,1,1.0,5107.0,1,1,1,1,1,1,1
57187,1.0,within an hour,1.0,1.0,2.0,1.0,Entire guesthouse,Entire home/apt,6,1,15,0,326,109.0,955,6.43,4.91,4.94,4.93,4.96,4.96,4.95,4.82,78704,1,1.0,4538.0,1,0,0,1,1,0,0
69303,1.0,within an hour,1.0,1.0,2.0,1.0,Entire condo,Entire home/apt,4,2,90,1,306,181.0,213,1.47,4.97,4.96,4.99,5.0,5.0,4.96,4.82,78704,1,1.5,4538.0,1,1,1,1,1,1,1
69810,0.0,,,,1.0,1.0,Entire guesthouse,Entire home/apt,2,2,730,0,0,134.0,446,3.04,4.98,4.98,5.0,4.99,4.99,4.8,4.95,78704,1,1.0,4789.0,1,1,1,1,1,1,1
70258,0.0,within an hour,1.0,0.25,2.0,1.0,Entire guesthouse,Entire home/apt,3,2,28,0,12,239.0,36,0.54,4.94,4.97,4.86,4.94,4.89,4.92,4.72,78704,0,1.0,4453.0,1,1,1,1,1,0,1
70812,1.0,within a few hours,1.0,0.71,2.0,1.0,Entire guesthouse,Entire home/apt,3,2,30,0,44,165.0,175,1.2,4.89,4.94,4.89,4.99,4.92,4.95,4.82,78704,1,1.0,4542.0,1,1,0,0,1,1,1
72833,1.0,within an hour,1.0,1.0,1.0,1.0,Entire guesthouse,Entire home/apt,2,3,60,0,5,132.0,412,2.82,4.91,4.92,4.9,4.96,4.96,4.9,4.91,78731,1,1.0,4437.0,1,1,0,1,1,1,1
73005,0.0,within a few hours,1.0,0.8,2.0,1.0,Entire townhouse,Entire home/apt,6,4,1125,0,137,297.0,44,0.3,4.89,4.88,4.74,4.93,4.95,4.79,4.81,78727,1,2.5,4698.0,1,1,1,1,1,1,1
73289,1.0,within an hour,1.0,0.82,2.0,1.0,Entire rental unit,Entire home/apt,4,30,1125,0,67,111.0,59,0.4,4.88,4.89,4.84,4.93,4.93,4.91,4.91,78705,1,2.0,4434.0,1,1,1,0,1,0,1
74318,1.0,within an hour,0.83,0.83,3.0,1.0,Entire home,Entire home/apt,2,2,1825,0,0,194.0,251,1.72,4.82,4.86,4.85,4.97,4.92,4.86,4.8,78704,1,1.0,4431.0,1,0,1,1,1,1,1
75957,1.0,within an hour,1.0,0.91,2.0,1.0,Entire guesthouse,Entire home/apt,2,2,30,0,191,163.0,424,2.9,4.97,4.98,4.96,4.99,4.98,4.96,4.94,78703,1,1.0,4420.0,1,1,1,0,1,0,1
76501,1.0,within an hour,1.0,0.94,1.0,1.0,Entire guest suite,Entire home/apt,3,2,91,0,48,144.0,222,1.51,4.95,4.95,4.88,4.99,4.99,4.89,4.95,78722,1,1.0,4418.0,1,1,1,1,1,1,1
76911,0.0,within an hour,1.0,1.0,1.0,1.0,Entire home,Entire home/apt,14,2,1125,0,148,893.0,196,2.03,4.95,4.95,4.89,4.99,4.99,4.93,4.89,78702,1,3.0,4427.0,1,1,1,1,1,1,1
76925,0.0,,,,1.0,1.0,Entire home,Entire home/apt,8,2,8,0,0,400.0,16,0.11,4.94,4.81,4.88,5.0,4.88,4.5,4.63,78702,1,2.0,4416.0,1,1,1,1,1,0,1
77347,0.0,,,,9.0,1.0,Private room in home,Private room,2,2,14,0,0,104.0,0,,4.93,4.95,4.92,5.0,5.0,4.92,4.86,78733,0,1.0,4434.0,1,1,1,1,1,1,1
77639,1.0,within a day,1.0,0.71,4.0,1.0,Entire home,Entire home/apt,4,2,730,0,325,179.0,53,0.52,4.69,4.69,4.65,4.96,4.88,5.0,4.67,78704,1,1.0,4413.0,1,1,1,1,1,0,1
78035,1.0,within an hour,1.0,1.0,3.0,1.0,Entire home,Entire home/apt,8,4,120,0,122,1143.0,91,1.24,4.99,4.98,4.93,5.0,4.98,4.96,4.78,78704,1,3.0,4412.0,1,1,1,1,1,0,1
78127,0.0,,,,4.0,1.0,Entire home,Entire home/apt,6,1,7,0,0,240.0,6,0.04,4.2,4.17,4.83,4.67,4.17,4.67,4.0,78701,1,1.0,4412.0,1,1,1,1,1,1,1
78422,1.0,within an hour,1.0,0.87,2.0,1.0,Entire home,Entire home/apt,6,4,60,0,108,79.0,11,0.08,4.82,5.0,4.82,5.0,5.0,4.55,4.91,78702,1,1.0,4411.0,1,1,1,1,1,1,1
78731,0.0,within an hour,1.0,1.0,2.0,1.0,Private room in home,Private room,2,3,28,0,145,120.0,215,1.61,4.98,4.97,5.0,5.0,4.98,4.98,4.9,78702,0,1.0,4410.0,1,1,1,1,1,1,1
78884,1.0,within an hour,1.0,1.0,19.0,1.0,Entire rental unit,Entire home/apt,2,2,90,1,0,148.0,190,1.3,4.77,4.79,4.86,4.95,4.95,4.96,4.75,78704,1,1.0,4000.0,1,1,0,1,1,1,1
79100,1.0,within an hour,1.0,0.97,33.0,1.0,Entire guesthouse,Entire home/apt,2,30,90,1,67,127.0,38,0.31,4.97,4.95,4.89,4.89,5.0,4.86,4.86,78723,1,1.0,4408.0,1,1,1,1,1,1,1
79768,0.0,,,,2.0,1.0,Entire bungalow,Entire home/apt,4,4,30,1,0,225.0,34,0.24,4.71,4.72,4.63,4.87,4.82,4.67,4.52,78702,1,1.0,4406.0,0,1,1,1,1,1,1
