feature,importance
host_tenure_days,0.06524427479621986
availability_365,0.06437062406123925
price,0.05762042970861091
host_total_listings_count,0.050557996187041265
reviews_per_month,0.04768050508745846
number_of_reviews,0.04713535223911856
review_scores_value,0.03264527180660566
maximum_nights,0.03173750841679185
review_scores_rating,0.030109316158505768
review_scores_cleanliness,0.029964599454254875
host_acceptance_rate,0.029491945816989072
review_scores_location,0.029167631877077504
review_scores_accuracy,0.028152698546538787
accommodates,0.027504308423760795
minimum_nights,0.027402544843372127
review_scores_checkin,0.02279363590602092
review_scores_communication,0.022282999914410923
beds,0.022062628740989822
bathrooms,0.02006909229012341
property_type_Entire rental unit,0.020014572416593192
bedrooms,0.01747920098152906
missing_acceptance_rate,0.01733468283192948
host_response_rate,0.015049275277533736
host_is_superhost,0.014662606053045597
missing_response_rate,0.014002595892422932
host_response_time_unknown,0.011383244896189235
instant_bookable,0.009925797868777399
has_bed_linens,0.009834151171137366
has_free_parking,0.008752626676932003
host_response_time_within an hour,0.008068893806632059
neighbourhood_cleansed_78704,0.007930280657552764
property_type_Entire home,0.00723761298067976
has_heating,0.006670315471556643
neighbourhood_cleansed_78702,0.006555337293821562
property_type_Entire condo,0.006228259034841623
neighbourhood_cleansed_78741,0.005399522652877162
room_type_Private room,0.005024174699449458
has_tv,0.004977047884463839
host_response_time_within a few hours,0.004819541709942288
neighbourhood_cleansed_78703,0.004709723217481645
property_type_Private room in home,0.004448134405508939
neighbourhood_cleansed_78745,0.0043456751817221246
neighbourhood_cleansed_78723,0.003822120670260861
neighbourhood_cleansed_78721,0.003797284024302191
has_kitchen,0.0037340224776348284
property_type_Entire guesthouse,0.0035627477482712442
neighbourhood_cleansed_78705,0.003526559047678049
has_air_conditioning,0.0034261464500992206
neighbourhood_cleansed_78751,0.0033559319988025692
neighbourhood_cleansed_78744,0.003260828279889097
neighbourhood_cleansed_78758,0.0030988336319459535
host_response_time_within a day,0.0029615460320443006
property_type_Entire townhouse,0.0026004671471595584
